feature_id	kind	vendor_evidence	provider	vendor_disable	target_config	target_dt	target_artifact	test_id
config:CONFIG_ARCH_INLINE_WRITE_UNLOCK_IRQRESTORE	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_INLINE_WRITE_UNLOCK_IRQRESTORE"]	mainline	["CONFIG_ARCH_INLINE_WRITE_UNLOCK_IRQRESTORE=n"]	["CONFIG_ARCH_INLINE_WRITE_UNLOCK_IRQRESTORE=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_SUN60I	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_SUN60I"]	ported-bsp	[]	["CONFIG_ARCH_SUN60I=y"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_SUN60IW2	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_SUN60IW2"]	ported-bsp	[]	["CONFIG_ARCH_SUN60IW2=y"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_SUN60IW2P1	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_SUN60IW2P1"]	ported-bsp	[]	["CONFIG_ARCH_SUN60IW2P1=y"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_SUPPORTS_CFI_CLANG	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_SUPPORTS_CFI_CLANG"]	mainline	["CONFIG_ARCH_SUPPORTS_CFI_CLANG=n"]	["CONFIG_ARCH_SUPPORTS_CFI_CLANG=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCH_USES_PG_ARCH_X	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCH_USES_PG_ARCH_X"]	mainline	["CONFIG_ARCH_USES_PG_ARCH_X=n"]	["CONFIG_ARCH_USES_PG_ARCH_X=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARCNET	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARCNET"]	mainline	["CONFIG_ARCNET=n"]	["CONFIG_ARCNET=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_ERRATUM_1286807	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_ERRATUM_1286807"]	mainline	["CONFIG_ARM64_ERRATUM_1286807=n"]	["CONFIG_ARM64_ERRATUM_1286807=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_ERRATUM_1542419	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_ERRATUM_1542419"]	mainline	["CONFIG_ARM64_ERRATUM_1542419=n"]	["CONFIG_ARM64_ERRATUM_1542419=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_ERRATUM_2441007	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_ERRATUM_2441007"]	mainline	["CONFIG_ARM64_ERRATUM_2441007=n"]	["CONFIG_ARM64_ERRATUM_2441007=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_ERRATUM_2441009	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_ERRATUM_2441009"]	mainline	["CONFIG_ARM64_ERRATUM_2441009=n"]	["CONFIG_ARM64_ERRATUM_2441009=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_ERRATUM_834220	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_ERRATUM_834220"]	mainline	["CONFIG_ARM64_ERRATUM_834220=n"]	["CONFIG_ARM64_ERRATUM_834220=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_LD_HAS_FIX_ERRATUM_843419	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_LD_HAS_FIX_ERRATUM_843419"]	mainline	["CONFIG_ARM64_LD_HAS_FIX_ERRATUM_843419=n"]	["CONFIG_ARM64_LD_HAS_FIX_ERRATUM_843419=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_LSE_ATOMICS	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_LSE_ATOMICS"]	mainline	["CONFIG_ARM64_LSE_ATOMICS=n"]	["CONFIG_ARM64_LSE_ATOMICS=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_PAN	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_PAN"]	mainline	["CONFIG_ARM64_PAN=n"]	["CONFIG_ARM64_PAN=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_PA_BITS_48	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_PA_BITS_48"]	mainline	["CONFIG_ARM64_PA_BITS_48=n"]	["CONFIG_ARM64_PA_BITS_48=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_USE_LSE_ATOMICS	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_USE_LSE_ATOMICS"]	mainline	["CONFIG_ARM64_USE_LSE_ATOMICS=n"]	["CONFIG_ARM64_USE_LSE_ATOMICS=n"]	[]	[]	["board-io-security.sh"]
config:CONFIG_ARM64_VA_BITS_48	config	["linux-aw2511@92c27523bfa57dc21acd843897c8949d549702c7:CONFIG_ARM64_VA_BITS_48"]	mainline	["CONFIG_ARM64_VA_BITS_48=n"]	["CONFIG_ARM64_VA_BITS_48=n"]	[]	[]	["board-io-security.sh"]
